epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
41,22422.9,1.18418,0.8986,1.07077,0.92779,0.83925,0.89172,0.56649,1.29827,1.08118,1.13579,5.2e-05,5.2e-05,5.2e-05
42,22907.5,1.17305,0.87669,1.06613,0.91113,0.84261,0.87989,0.55644,1.30239,1.12737,1.13408,4.705e-05,4.705e-05,4.705e-05
43,23392.3,1.16424,0.85126,1.06884,0.90619,0.84591,0.88021,0.55443,1.31425,1.11994,1.13833,4.21e-05,4.21e-05,4.21e-05
44,23875.4,1.16174,0.84692,1.06647,0.91114,0.83984,0.87416,0.55415,1.29354,1.1402,1.13306,3.715e-05,3.715e-05,3.715e-05
45,24358.7,1.148,0.83784,1.05914,0.90647,0.85576,0.87959,0.55868,1.29521,1.10885,1.13266,3.22e-05,3.22e-05,3.22e-05
46,24842.7,1.15198,0.82914,1.05433,0.90778,0.84626,0.87434,0.55709,1.29439,1.09689,1.13233,2.725e-05,2.725e-05,2.725e-05
47,25326.7,1.14862,0.82043,1.05833,0.89177,0.83855,0.86298,0.55047,1.29508,1.15208,1.13504,2.23e-05,2.23e-05,2.23e-05
48,25811.7,1.13293,0.80978,1.051,0.90929,0.84823,0.87776,0.55684,1.29444,1.08718,1.13382,1.735e-05,1.735e-05,1.735e-05
49,26295,1.1398,0.80716,1.05216,0.90195,0.84613,0.87046,0.55061,1.2987,1.1218,1.13384,1.24e-05,1.24e-05,1.24e-05
50,26781,1.13745,0.80506,1.04849,0.90143,0.83893,0.86616,0.5488,1.29777,1.12776,1.13491,7.45e-06,7.45e-06,7.45e-06
